energy,photon_flux
215.002,0.0292170
215.353,0.0391120
215.705,0.0165047
216.056,0.0343531
216.408,0.0186025
216.759,0.0184688
217.111,0.0859190
217.462,0.0132619
217.814,0.0276256
218.165,0.0372480
218.517,0.00484310
218.868,0.0274821
219.220,0.0328996
219.571,0.0257015
219.923,0.0164915
220.274,0.00702087
220.626,0.0191912
220.977,0.0260363
221.329,0.0167795
221.680,0.0373207
222.032,0.0354960
222.383,0.0170146
222.735,0.0122778
223.086,0.0429919
223.438,0.0144052
223.789,0.00938970
224.141,0.0144126
224.492,0.0165312
224.844,0.0122458
225.195,0.00726004
225.546,0.0122755
225.898,0.0118204
226.249,0.0219117
226.601,0.0845816
226.952,0.00733218
227.304,0.0389870
227.655,0.0193720
228.007,0.0172266
228.358,0.0415194
228.710,0.0365514
229.061,0.0122390
229.413,0.0223841
229.764,0.0148572
230.116,0.0200244
230.467,0.00726758
230.819,0.0398136
231.170,0.0174052
231.522,0.0222516
231.873,0.0124016
232.225,0.0299821
232.576,0.0125201
232.928,0.0122692
233.279,0.0159262
233.631,0.0178586
233.982,0.0151875
234.334,0.0980698
234.685,0.0479760
235.037,0.0256903
235.388,0.0149454
235.740,0.0455940
236.091,0.0457353
236.443,0.0154638
236.794,0.0434830
237.146,0.0357194
237.497,0.0206611
237.849,0.0178568
238.200,0.0437004
238.552,0.0105919
238.903,0.00751746
239.255,0.0181423
239.606,0.0153318
239.958,0.103058
240.309,0.0156558
240.661,0.0129551
241.012,0.0237928
241.364,0.0184212
241.715,0.0335997
242.067,0.0360640
242.418,0.0183645
242.770,0.0127622
243.121,0.0523207
243.473,0.0105837
243.824,0.0444573
244.176,0.0159898
244.527,0.0210084
244.879,0.0132788
245.230,0.0266540
245.582,0.0106421
245.933,0.103563
246.285,0.0163902
246.636,0.103689
246.988,0.0452044
247.339,0.0163107
247.691,0.0932702
248.042,0.00276995
248.394,0.0426379
248.745,0.0293180
249.097,0.0135275
249.448,0.107902
249.800,0.0377962
250.151,0.0163973
250.503,0.0222294
250.854,0.0197034
251.206,0.0111284
251.557,0.0378011
251.909,0.00819853
252.260,0.00540760
252.612,0.0109808
252.963,0.0194069
253.315,0.0196125
253.666,0.0166041
254.018,0.0142578
254.369,0.0357975
254.721,0.0492130
255.072,0.0137308
255.423,0.0249590
255.775,0.0525937
256.126,0.0360312
256.478,0.0413806
256.829,0.0470753
257.181,0.0360134
257.532,0.00558847
257.884,0.0195288
258.235,0.00570539
258.587,0.0478473
258.938,0.00843886
259.290,0.0143595
259.641,0.0253811
259.993,0.0196177
260.344,0.0426034
260.696,0.0452984
261.047,0.0144428
261.399,0.0113795
261.750,0.00562091
262.102,0.0341180
262.453,0.0230485
262.805,0.0209582
263.156,0.0120211
263.508,0.00285563
263.859,0.0490025
264.211,0.0489346
264.562,0.0202965
264.914,0.0458122
265.265,0.0120843
265.617,0.0443693
265.968,0.00877761
266.320,0.0145358
266.671,0.00875865
267.023,0.113349
267.374,0.0119995
267.726,0.0119170
268.077,0.0528161
268.429,0.0382109
268.780,0.0231888
269.132,0.0210019
269.483,0.0115809
269.835,0.00886808
270.186,0.00297315
270.538,0.00886982
270.889,0.0208581
271.241,0.00619779
271.592,0.0207641
271.944,0.0178297
272.295,0.0178700
272.647,0.0363329
272.998,0.0207440
273.350,0.0333088
273.701,0.0566344
274.053,0.0569782
274.404,0.00593879
274.756,0.0152066
275.107,0.0512773
275.459,0.0124219
275.810,0.0178344
276.162,0.123941
276.513,0.0305608
276.865,0.00615329
277.216,0.00945102
277.568,0.00914304
277.919,0.0217381
278.271,0.0150351
